customer_id,is_dashpass,acquisition_channel,device_type,city,signup_date
861eff4711a542e4b93843c6dd7febb0,False,organic_search,Web,Phoenix,2024-09-15
290c77bc529b7ac935b93aa66c333dc3,False,paid_social,Web,Los Angeles,2024-03-20
060e732b5b29e8181a18229c7b0b2b5e,False,paid_search,iOS,Miami,2025-01-26
259dac757896d24d7702b9acbbff3f3c,False,organic_search,iOS,Houston,2024-06-29
345ecd01c38d18a9036ed96c73b8d066,False,paid_search,iOS,Boston,2024-12-28
4c93744516667ad3b8f1fb645a3116a4,True,paid_search,Android,Houston,2025-02-05
addec96d2e059c80c30fe6871d30d177,False,referral,iOS,Chicago,2024-07-14
57b2a98a409812fe9618067b6b8ebe4f,False,referral,Android,Chicago,2024-08-28
1175e95fb47ddff9de6b2b06188f7e0d,False,referral,iOS,Los Angeles,2024-10-21
9afe194fb833f79e300e37e580171f22,False,referral,Android,Miami,2024-05-02
2a7745e1ed516b289ed9b29c7d0539a5,False,organic_search,Web,Austin,2024-04-25
2a46fb94aef5cbeeb850418118cee090,False,email,iOS,Boston,2024-10-25
918dc87cd72cd9f6ed4bd442ed785235,False,paid_search,Android,Miami,2024-04-12
295c05e81917928d76245e842748184d,True,organic_search,iOS,Houston,2024-03-16
3151a81801c8386361b62277d7fa5ecf,False,organic_search,iOS,Los Angeles,2024-10-28
21f748a16f4e1688a9014eb3ee6fa325,False,email,Web,San Francisco,2024-11-23
5c2991dbd08bbf3cf410713c4de5a0b5,True,referral,iOS,Phoenix,2024-11-21
b6e99561fe6f34a55b0b7da92f8ed775,False,organic_search,Web,Chicago,2024-08-22
7f3a72e8f988c6e735ba118d54f47458,False,paid_social,iOS,Austin,2024-10-27
3e6fd6b2f0d499456a6a6820a40f2d79,False,paid_search,iOS,San Francisco,2024-10-01
e607ede0e63436308660236f5a52da5e,False,organic_search,iOS,New York,2024-08-08
a96d5cfa0d3181817e2b946f921ea021,False,email,Android,Los Angeles,2024-06-20
